,A-T-N-,A-T+N+,A-T-N+,A-T+N-,A+T+N-,A+T-N-,A+T-N+,A+T+N+
ADNI,274.0,33.0,8.0,0.0,28.0,418.0,13.0,243.0
EPAD,595.0,50.0,4.0,5.0,20.0,415.0,6.0,142.0
AIBL,18.0,0.0,0.0,0.0,5.0,31.0,0.0,3.0
ARWIBO,44.0,7.0,6.0,5.0,4.0,81.0,27.0,43.0
EDSD,21.0,1.0,4.0,1.0,1.0,37.0,10.0,10.0
PREVENT-AD,0.0,1.0,0.0,0.0,7.0,110.0,2.0,13.0
PharmaCog,46.0,1.0,2.0,0.0,1.0,67.0,5.0,23.0
NACC,97.0,7.0,50.0,4.0,2.0,62.0,201.0,83.0
EMIF,308.0,14.0,7.0,9.0,50.0,430.0,55.0,141.0
DOD-ADNI,51.0,7.0,0.0,1.0,1.0,46.0,0.0,7.0
JADNI,53.0,0.0,1.0,0.0,28.0,71.0,2.0,42.0
