,A-T-N-,A-T+N+,A-T-N+,A-T+N-,A+T+N-,A+T-N-,A+T-N+,A+T+N+
ADNI,282.0,23.0,5.0,0.0,12.0,496.0,20.0,179.0
EPAD,569.0,53.0,3.0,4.0,19.0,427.0,9.0,153.0
AIBL,18.0,0.0,0.0,0.0,1.0,30.0,0.0,8.0
ARWIBO,79.0,15.0,17.0,5.0,1.0,48.0,27.0,25.0
EDSD,3.0,0.0,2.0,1.0,4.0,45.0,9.0,21.0
PREVENT-AD,0.0,1.0,0.0,0.0,0.0,121.0,8.0,3.0
PharmaCog,40.0,1.0,2.0,0.0,1.0,65.0,11.0,25.0
NACC,183.0,5.0,5.0,10.0,20.0,195.0,40.0,48.0
EMIF,311.0,15.0,5.0,8.0,45.0,427.0,46.0,157.0
DOD-ADNI,31.0,7.0,0.0,1.0,1.0,66.0,0.0,7.0
JADNI,54.0,0.0,2.0,0.0,12.0,64.0,7.0,58.0
