,A-T-N-,A-T+N+,A-T-N+,A-T+N-,A+T+N-,A+T-N-,A+T-N+,A+T+N+
ADNI,258.0,24.0,4.0,0.0,29.0,453.0,13.0,236.0
EPAD,594.0,55.0,4.0,6.0,17.0,406.0,9.0,146.0
AIBL,13.0,2.0,1.0,2.0,6.0,15.0,4.0,14.0
ARWIBO,61.0,1.0,6.0,2.0,3.0,105.0,28.0,11.0
EDSD,21.0,1.0,4.0,1.0,2.0,36.0,8.0,12.0
PREVENT-AD,98.0,10.0,0.0,1.0,0.0,19.0,1.0,4.0
PharmaCog,45.0,1.0,2.0,0.0,2.0,71.0,3.0,21.0
NACC,178.0,4.0,7.0,4.0,9.0,201.0,51.0,52.0
EMIF,306.0,17.0,18.0,6.0,26.0,398.0,95.0,148.0
DOD-ADNI,12.0,6.0,0.0,0.0,1.0,85.0,0.0,9.0
JADNI,51.0,0.0,1.0,0.0,11.0,83.0,3.0,48.0
