,A-T-N-,A-T+N+,A-T-N+,A-T+N-,A+T+N-,A+T-N-,A+T-N+,A+T+N+
ADNI,280.0,25.0,8.0,0.0,3.0,462.0,28.0,211.0
EPAD,585.0,53.0,4.0,6.0,19.0,418.0,6.0,146.0
AIBL,17.0,0.0,1.0,0.0,1.0,30.0,0.0,8.0
ARWIBO,48.0,10.0,6.0,4.0,2.0,72.0,42.0,33.0
EDSD,23.0,2.0,4.0,1.0,7.0,27.0,4.0,17.0
PREVENT-AD,102.0,19.0,3.0,7.0,0.0,1.0,1.0,0.0
PharmaCog,41.0,0.0,1.0,0.0,1.0,71.0,8.0,23.0
NACC,183.0,5.0,11.0,5.0,20.0,189.0,48.0,45.0
EMIF,315.0,18.0,11.0,11.0,42.0,408.0,66.0,143.0
DOD-ADNI,32.0,2.0,4.0,0.0,2.0,68.0,0.0,5.0
JADNI,57.0,0.0,1.0,0.0,18.0,61.0,6.0,54.0
