,A-T-N-,A-T+N+,A-T-N+,A-T+N-,A+T+N-,A+T-N-,A+T-N+,A+T+N+
ADNI,277.0,33.0,8.0,0.0,32.0,420.0,12.0,235.0
EPAD,590.0,58.0,2.0,3.0,17.0,404.0,11.0,152.0
AIBL,12.0,0.0,1.0,0.0,0.0,33.0,2.0,9.0
ARWIBO,60.0,1.0,3.0,4.0,6.0,113.0,15.0,15.0
EDSD,21.0,0.0,1.0,3.0,18.0,36.0,0.0,6.0
PREVENT-AD,94.0,6.0,0.0,4.0,1.0,24.0,0.0,4.0
PharmaCog,46.0,1.0,2.0,0.0,2.0,70.0,3.0,21.0
NACC,164.0,7.0,7.0,3.0,11.0,196.0,51.0,67.0
EMIF,301.0,16.0,7.0,11.0,51.0,434.0,45.0,149.0
DOD-ADNI,14.0,2.0,2.0,0.0,2.0,88.0,0.0,5.0
JADNI,54.0,0.0,1.0,0.0,18.0,66.0,5.0,53.0
