,A-T-N-,A-T+N+,A-T-N+,A-T+N-,A+T+N-,A+T-N-,A+T-N+,A+T+N+
ADNI,286.0,25.0,5.0,0.0,8.0,465.0,26.0,202.0
EPAD,593.0,54.0,4.0,6.0,18.0,409.0,7.0,146.0
AIBL,0.0,1.0,0.0,10.0,34.0,0.0,0.0,12.0
ARWIBO,54.0,5.0,0.0,7.0,12.0,101.0,14.0,24.0
EDSD,22.0,0.0,1.0,2.0,1.0,53.0,2.0,4.0
PREVENT-AD,0.0,1.0,0.0,0.0,1.0,117.0,2.0,12.0
PharmaCog,45.0,1.0,2.0,0.0,2.0,70.0,4.0,21.0
NACC,163.0,9.0,10.0,12.0,19.0,185.0,39.0,69.0
EMIF,279.0,19.0,16.0,15.0,49.0,381.0,75.0,180.0
DOD-ADNI,0.0,22.0,0.0,0.0,0.0,0.0,6.0,85.0
JADNI,51.0,0.0,1.0,0.0,27.0,77.0,2.0,39.0
