,A-T-N-,A-T+N+,A-T-N+,A-T+N-,A+T+N-,A+T-N-,A+T-N+,A+T+N+
ADNI,254.0,24.0,4.0,0.0,33.0,453.0,12.0,237.0
EPAD,584.0,41.0,6.0,2.0,13.0,457.0,2.0,132.0
AIBL,20.0,0.0,0.0,0.0,0.0,29.0,4.0,4.0
ARWIBO,50.0,2.0,14.0,1.0,1.0,74.0,64.0,11.0
EDSD,20.0,1.0,5.0,1.0,0.0,29.0,24.0,5.0
PREVENT-AD,79.0,8.0,0.0,1.0,0.0,38.0,1.0,6.0
PharmaCog,39.0,1.0,7.0,0.0,1.0,52.0,22.0,23.0
NACC,168.0,5.0,5.0,14.0,33.0,194.0,32.0,55.0
EMIF,288.0,13.0,11.0,6.0,46.0,455.0,57.0,138.0
DOD-ADNI,25.0,10.0,1.0,2.0,1.0,66.0,0.0,8.0
JADNI,57.0,0.0,1.0,0.0,16.0,79.0,2.0,42.0
