,A-T-N-,A-T+N+,A-T-N+,A-T+N-,A+T+N-,A+T-N-,A+T-N+,A+T+N+
ADNI,281.0,21.0,8.0,0.0,6.0,491.0,38.0,172.0
EPAD,591.0,54.0,3.0,6.0,18.0,408.0,8.0,149.0
AIBL,16.0,0.0,2.0,1.0,0.0,28.0,0.0,10.0
ARWIBO,54.0,9.0,4.0,7.0,7.0,82.0,20.0,34.0
EDSD,22.0,1.0,6.0,1.0,0.0,32.0,18.0,5.0
PREVENT-AD,88.0,2.0,6.0,0.0,0.0,30.0,7.0,0.0
PharmaCog,51.0,1.0,0.0,0.0,3.0,68.0,2.0,20.0
NACC,170.0,4.0,6.0,3.0,10.0,206.0,53.0,54.0
EMIF,302.0,18.0,13.0,9.0,40.0,407.0,66.0,159.0
DOD-ADNI,14.0,11.0,1.0,0.0,1.0,77.0,1.0,8.0
JADNI,56.0,0.0,1.0,0.0,29.0,67.0,2.0,42.0
