,A-T-N-,A-T+N+,A-T-N+,A-T+N-,A+T+N-,A+T-N-,A+T-N+,A+T+N+
ADNI,279.0,35.0,7.0,0.0,40.0,407.0,9.0,240.0
EPAD,596.0,45.0,9.0,1.0,13.0,427.0,8.0,138.0
AIBL,15.0,1.0,2.0,0.0,0.0,25.0,5.0,9.0
ARWIBO,58.0,3.0,6.0,1.0,5.0,99.0,29.0,16.0
EDSD,20.0,1.0,5.0,1.0,0.0,35.0,18.0,5.0
PREVENT-AD,76.0,7.0,0.0,4.0,1.0,38.0,1.0,6.0
PharmaCog,43.0,1.0,2.0,0.0,1.0,68.0,8.0,22.0
NACC,166.0,5.0,5.0,6.0,16.0,211.0,37.0,60.0
EMIF,320.0,12.0,7.0,9.0,52.0,444.0,40.0,130.0
DOD-ADNI,9.0,10.0,1.0,0.0,1.0,80.0,1.0,11.0
JADNI,64.0,2.0,2.0,0.0,19.0,55.0,4.0,51.0
