,A-T-N-,A-T+N+,A-T-N+,A-T+N-,A+T+N-,A+T-N-,A+T-N+,A+T+N+
ADNI,253.0,19.0,9.0,0.0,2.0,487.0,29.0,218.0
EPAD,595.0,54.0,2.0,7.0,22.0,410.0,6.0,141.0
AIBL,19.0,0.0,2.0,0.0,0.0,25.0,2.0,9.0
ARWIBO,61.0,0.0,11.0,1.0,0.0,99.0,45.0,0.0
EDSD,24.0,0.0,1.0,2.0,1.0,51.0,2.0,4.0
PREVENT-AD,86.0,13.0,0.0,5.0,1.0,21.0,2.0,5.0
PharmaCog,44.0,1.0,4.0,0.0,1.0,61.0,12.0,22.0
NACC,138.0,4.0,10.0,4.0,17.0,231.0,44.0,58.0
EMIF,304.0,17.0,14.0,7.0,37.0,407.0,71.0,157.0
DOD-ADNI,8.0,9.0,2.0,0.0,0.0,85.0,0.0,9.0
JADNI,53.0,0.0,1.0,0.0,23.0,66.0,3.0,51.0
