,A-T-N-,A-T+N+,A-T-N+,A-T+N-,A+T+N-,A+T-N-,A+T-N+,A+T+N+
ADNI,268.0,20.0,3.0,0.0,15.0,495.0,25.0,191.0
EPAD,588.0,57.0,2.0,5.0,22.0,403.0,7.0,153.0
AIBL,1.0,1.0,0.0,8.0,24.0,14.0,0.0,9.0
ARWIBO,55.0,2.0,15.0,1.0,1.0,77.0,59.0,7.0
EDSD,22.0,0.0,3.0,2.0,0.0,40.0,13.0,5.0
PREVENT-AD,0.0,1.0,0.0,0.0,7.0,101.0,3.0,21.0
PharmaCog,44.0,2.0,1.0,1.0,5.0,68.0,3.0,21.0
NACC,166.0,7.0,15.0,9.0,10.0,161.0,66.0,72.0
EMIF,296.0,16.0,12.0,5.0,33.0,418.0,63.0,171.0
DOD-ADNI,50.0,7.0,0.0,1.0,1.0,47.0,0.0,7.0
JADNI,55.0,0.0,0.0,0.0,68.0,61.0,2.0,11.0
