,A-T-N-,A-T+N+,A-T-N+,A-T+N-,A+T+N-,A+T-N-,A+T-N+,A+T+N+
ADNI,286.0,23.0,7.0,0.0,7.0,481.0,37.0,176.0
EPAD,592.0,50.0,2.0,7.0,22.0,420.0,3.0,141.0
AIBL,12.0,0.0,0.0,0.0,1.0,35.0,1.0,8.0
ARWIBO,55.0,2.0,13.0,1.0,0.0,84.0,59.0,3.0
EDSD,21.0,1.0,4.0,1.0,2.0,36.0,9.0,11.0
PREVENT-AD,0.0,1.0,0.0,0.0,13.0,105.0,0.0,14.0
PharmaCog,43.0,2.0,1.0,0.0,1.0,70.0,5.0,23.0
NACC,137.0,5.0,10.0,6.0,13.0,204.0,58.0,73.0
EMIF,289.0,17.0,14.0,4.0,31.0,418.0,70.0,171.0
DOD-ADNI,16.0,8.0,1.0,1.0,0.0,79.0,0.0,8.0
JADNI,55.0,0.0,1.0,0.0,26.0,75.0,2.0,38.0
