,A-T-N-,A-T+N+,A-T-N+,A-T+N-,A+T+N-,A+T-N-,A+T-N+,A+T+N+
ADNI,261.0,31.0,8.0,0.0,30.0,431.0,11.0,245.0
EPAD,599.0,58.0,0.0,8.0,28.0,401.0,5.0,138.0
AIBL,15.0,0.0,2.0,0.0,0.0,31.0,1.0,8.0
ARWIBO,52.0,9.0,8.0,3.0,2.0,72.0,39.0,32.0
EDSD,20.0,1.0,5.0,1.0,0.0,32.0,21.0,5.0
PREVENT-AD,118.0,1.0,0.0,5.0,1.0,8.0,0.0,0.0
PharmaCog,45.0,0.0,0.0,0.0,5.0,74.0,2.0,19.0
NACC,168.0,6.0,9.0,13.0,20.0,184.0,42.0,64.0
EMIF,320.0,16.0,11.0,7.0,32.0,429.0,64.0,135.0
DOD-ADNI,8.0,10.0,1.0,0.0,2.0,83.0,0.0,9.0
JADNI,0.0,2.0,0.0,74.0,98.0,0.0,0.0,23.0
