,A-T-N-,A-T+N+,A-T-N+,A-T+N-,A+T+N-,A+T-N-,A+T-N+,A+T+N+
ADNI,259.0,26.0,7.0,0.0,40.0,430.0,8.0,247.0
EPAD,582.0,58.0,2.0,4.0,19.0,409.0,8.0,155.0
AIBL,21.0,0.0,3.0,0.0,0.0,17.0,7.0,9.0
ARWIBO,65.0,2.0,5.0,3.0,6.0,100.0,20.0,16.0
EDSD,22.0,0.0,2.0,2.0,5.0,43.0,3.0,8.0
PREVENT-AD,86.0,14.0,0.0,8.0,1.0,19.0,1.0,4.0
PharmaCog,42.0,0.0,0.0,0.0,7.0,78.0,1.0,17.0
NACC,167.0,10.0,13.0,4.0,13.0,186.0,48.0,65.0
EMIF,285.0,15.0,12.0,7.0,45.0,416.0,74.0,160.0
DOD-ADNI,34.0,8.0,3.0,0.0,0.0,60.0,0.0,8.0
JADNI,54.0,0.0,2.0,0.0,16.0,62.0,7.0,56.0
