,A-T-N-,A-T+N+,A-T-N+,A-T+N-,A+T+N-,A+T-N-,A+T-N+,A+T+N+
ADNI,288.0,25.0,3.0,0.0,24.0,478.0,13.0,186.0
EPAD,602.0,46.0,8.0,3.0,15.0,422.0,3.0,138.0
AIBL,16.0,0.0,2.0,0.0,1.0,30.0,0.0,8.0
ARWIBO,55.0,3.0,12.0,1.0,2.0,82.0,47.0,15.0
EDSD,23.0,1.0,3.0,0.0,0.0,38.0,20.0,0.0
PREVENT-AD,96.0,6.0,0.0,2.0,0.0,26.0,0.0,3.0
PharmaCog,44.0,2.0,1.0,0.0,4.0,70.0,3.0,21.0
NACC,169.0,10.0,14.0,12.0,18.0,172.0,47.0,64.0
EMIF,286.0,17.0,15.0,5.0,32.0,411.0,84.0,164.0
DOD-ADNI,42.0,9.0,0.0,1.0,0.0,53.0,0.0,8.0
JADNI,55.0,0.0,0.0,0.0,25.0,82.0,2.0,33.0
