,A-T-N-,A-T+N+,A-T-N+,A-T+N-,A+T+N-,A+T-N-,A+T-N+,A+T+N+
ADNI,277.0,26.0,0.0,3.0,42.0,475.0,5.0,189.0
EPAD,582.0,48.0,4.0,5.0,19.0,432.0,6.0,141.0
AIBL,19.0,0.0,2.0,0.0,1.0,26.0,1.0,8.0
ARWIBO,55.0,2.0,12.0,1.0,2.0,82.0,49.0,14.0
EDSD,20.0,1.0,5.0,1.0,2.0,35.0,10.0,11.0
PREVENT-AD,98.0,2.0,0.0,7.0,3.0,21.0,0.0,2.0
PharmaCog,41.0,0.0,1.0,0.0,3.0,74.0,4.0,22.0
NACC,176.0,8.0,9.0,13.0,19.0,175.0,41.0,65.0
EMIF,294.0,17.0,14.0,9.0,34.0,389.0,78.0,179.0
DOD-ADNI,48.0,8.0,1.0,1.0,0.0,47.0,0.0,8.0
JADNI,54.0,0.0,1.0,0.0,15.0,82.0,2.0,43.0
