,A-T-N-,A-T+N+,A-T-N+,A-T+N-,A+T+N-,A+T-N-,A+T-N+,A+T+N+
ADNI,289.0,25.0,4.0,0.0,18.0,478.0,20.0,183.0
EPAD,600.0,53.0,1.0,8.0,26.0,407.0,3.0,139.0
AIBL,15.0,2.0,1.0,0.0,0.0,25.0,4.0,10.0
ARWIBO,60.0,2.0,9.0,1.0,3.0,96.0,37.0,9.0
EDSD,26.0,2.0,3.0,2.0,9.0,23.0,4.0,16.0
PREVENT-AD,0.0,1.0,0.0,0.0,1.0,118.0,3.0,10.0
PharmaCog,40.0,0.0,2.0,0.0,1.0,67.0,12.0,23.0
NACC,136.0,5.0,14.0,4.0,13.0,222.0,51.0,61.0
EMIF,312.0,15.0,9.0,8.0,39.0,424.0,59.0,148.0
DOD-ADNI,17.0,10.0,1.0,0.0,0.0,77.0,0.0,8.0
JADNI,56.0,0.0,0.0,0.0,26.0,80.0,2.0,33.0
