,A-T-N-,A-T+N+,A-T-N+,A-T+N-,A+T+N-,A+T-N-,A+T-N+,A+T+N+
ADNI,275.0,34.0,10.0,0.0,31.0,408.0,13.0,246.0
EPAD,576.0,50.0,3.0,5.0,21.0,433.0,6.0,143.0
AIBL,15.0,2.0,1.0,0.0,0.0,28.0,1.0,10.0
ARWIBO,48.0,9.0,3.0,11.0,24.0,72.0,6.0,44.0
EDSD,22.0,1.0,7.0,1.0,0.0,26.0,21.0,7.0
PREVENT-AD,10.0,1.0,0.0,1.0,1.0,110.0,1.0,9.0
PharmaCog,45.0,1.0,2.0,0.0,1.0,69.0,5.0,22.0
NACC,183.0,7.0,10.0,3.0,13.0,192.0,39.0,59.0
EMIF,294.0,21.0,16.0,8.0,33.0,393.0,71.0,178.0
DOD-ADNI,41.0,7.0,0.0,1.0,0.0,56.0,0.0,8.0
JADNI,54.0,0.0,1.0,0.0,20.0,81.0,2.0,39.0
