,A-T-N-,A-T+N+,A-T-N+,A-T+N-,A+T+N-,A+T-N-,A+T-N+,A+T+N+
ADNI,266.0,32.0,10.0,0.0,42.0,404.0,4.0,259.0
EPAD,596.0,57.0,2.0,7.0,23.0,398.0,6.0,148.0
AIBL,13.0,0.0,1.0,0.0,1.0,32.0,2.0,8.0
ARWIBO,50.0,9.0,5.0,4.0,4.0,86.0,28.0,31.0
EDSD,4.0,0.0,1.0,1.0,2.0,71.0,2.0,4.0
PREVENT-AD,110.0,1.0,0.0,1.0,0.0,21.0,0.0,0.0
PharmaCog,45.0,1.0,2.0,0.0,2.0,70.0,3.0,22.0
NACC,161.0,6.0,9.0,5.0,14.0,199.0,44.0,68.0
EMIF,239.0,12.0,13.0,3.0,40.0,474.0,76.0,157.0
DOD-ADNI,51.0,7.0,0.0,0.0,0.0,47.0,0.0,8.0
JADNI,51.0,0.0,1.0,0.0,13.0,74.0,5.0,53.0
