,A-T-N-,A-T+N+,A-T-N+,A-T+N-,A+T+N-,A+T-N-,A+T-N+,A+T+N+
ADNI,269.0,21.0,0.0,1.0,48.0,486.0,4.0,188.0
EPAD,591.0,53.0,4.0,6.0,18.0,412.0,5.0,148.0
AIBL,13.0,0.0,0.0,0.0,2.0,39.0,1.0,2.0
ARWIBO,56.0,2.0,15.0,1.0,1.0,69.0,61.0,12.0
EDSD,24.0,0.0,1.0,2.0,8.0,45.0,0.0,5.0
PREVENT-AD,117.0,14.0,1.0,1.0,0.0,0.0,0.0,0.0
PharmaCog,48.0,0.0,0.0,1.0,22.0,73.0,0.0,1.0
NACC,167.0,7.0,4.0,7.0,14.0,191.0,47.0,69.0
EMIF,281.0,16.0,15.0,4.0,40.0,430.0,71.0,157.0
DOD-ADNI,7.0,4.0,0.0,1.0,2.0,90.0,0.0,9.0
JADNI,55.0,0.0,1.0,0.0,28.0,72.0,2.0,39.0
