,A-T-N-,A-T+N+,A-T-N+,A-T+N-,A+T+N-,A+T-N-,A+T-N+,A+T+N+
ADNI,268.0,19.0,7.0,0.0,3.0,481.0,37.0,202.0
EPAD,592.0,53.0,3.0,6.0,19.0,412.0,5.0,147.0
AIBL,18.0,0.0,2.0,0.0,0.0,29.0,2.0,6.0
ARWIBO,59.0,1.0,6.0,2.0,0.0,111.0,33.0,5.0
EDSD,21.0,1.0,4.0,1.0,2.0,36.0,8.0,12.0
PREVENT-AD,109.0,6.0,6.0,0.0,0.0,10.0,1.0,1.0
PharmaCog,45.0,1.0,2.0,0.0,1.0,63.0,10.0,23.0
NACC,160.0,10.0,12.0,4.0,15.0,194.0,45.0,66.0
EMIF,292.0,23.0,22.0,9.0,37.0,364.0,75.0,192.0
DOD-ADNI,56.0,6.0,0.0,1.0,2.0,42.0,0.0,6.0
JADNI,79.0,9.0,1.0,3.0,15.0,47.0,3.0,40.0
