,A-T-N-,A-T+N+,A-T-N+,A-T+N-,A+T+N-,A+T-N-,A+T-N+,A+T+N+
ADNI,225.0,32.0,0.0,52.0,259.0,211.0,0.0,238.0
EPAD,585.0,49.0,3.0,5.0,19.0,432.0,4.0,140.0
AIBL,8.0,0.0,1.0,1.0,0.0,35.0,3.0,9.0
ARWIBO,55.0,2.0,15.0,1.0,1.0,72.0,60.0,11.0
EDSD,19.0,2.0,3.0,1.0,7.0,33.0,4.0,16.0
PREVENT-AD,25.0,3.0,0.0,2.0,0.0,95.0,1.0,7.0
PharmaCog,41.0,0.0,2.0,0.0,2.0,74.0,3.0,23.0
NACC,169.0,7.0,7.0,3.0,12.0,193.0,50.0,65.0
EMIF,274.0,11.0,6.0,4.0,52.0,502.0,35.0,130.0
DOD-ADNI,50.0,7.0,0.0,1.0,1.0,47.0,0.0,7.0
JADNI,54.0,0.0,1.0,0.0,22.0,70.0,2.0,48.0
