,A-T-N-,A-T+N+,A-T-N+,A-T+N-,A+T+N-,A+T-N-,A+T-N+,A+T+N+
ADNI,285.0,23.0,7.0,0.0,5.0,479.0,40.0,178.0
EPAD,592.0,52.0,4.0,5.0,17.0,415.0,6.0,146.0
AIBL,16.0,0.0,2.0,0.0,0.0,29.0,1.0,9.0
ARWIBO,54.0,6.0,9.0,2.0,3.0,81.0,40.0,22.0
EDSD,15.0,0.0,2.0,2.0,0.0,47.0,12.0,7.0
PREVENT-AD,101.0,8.0,2.0,1.0,0.0,16.0,2.0,3.0
PharmaCog,46.0,1.0,2.0,0.0,1.0,68.0,5.0,22.0
NACC,154.0,4.0,4.0,6.0,13.0,209.0,55.0,61.0
EMIF,318.0,13.0,6.0,7.0,47.0,474.0,27.0,122.0
DOD-ADNI,5.0,5.0,0.0,1.0,0.0,91.0,0.0,11.0
JADNI,39.0,0.0,2.0,0.0,19.0,76.0,5.0,56.0
