,A-T-N-,A-T+N+,A-T-N+,A-T+N-,A+T+N-,A+T-N-,A+T-N+,A+T+N+
ADNI,285.0,21.0,9.0,0.0,6.0,484.0,40.0,172.0
EPAD,602.0,47.0,5.0,5.0,19.0,424.0,1.0,134.0
AIBL,14.0,2.0,1.0,1.0,4.0,23.0,2.0,10.0
ARWIBO,47.0,2.0,13.0,1.0,1.0,74.0,68.0,11.0
EDSD,24.0,0.0,1.0,2.0,1.0,48.0,3.0,6.0
PREVENT-AD,0.0,1.0,0.0,0.0,1.0,116.0,2.0,13.0
PharmaCog,45.0,2.0,1.0,0.0,2.0,64.0,8.0,23.0
NACC,163.0,6.0,9.0,13.0,23.0,184.0,39.0,69.0
EMIF,300.0,18.0,11.0,7.0,40.0,419.0,62.0,157.0
DOD-ADNI,25.0,10.0,1.0,2.0,0.0,67.0,0.0,8.0
JADNI,55.0,0.0,5.0,0.0,6.0,55.0,9.0,67.0
