,A-T-N-,A-T+N+,A-T-N+,A-T+N-,A+T+N-,A+T-N-,A+T-N+,A+T+N+
ADNI,273.0,30.0,12.0,0.0,3.0,440.0,29.0,230.0
EPAD,594.0,60.0,2.0,3.0,19.0,399.0,11.0,149.0
AIBL,16.0,0.0,2.0,0.0,0.0,30.0,1.0,8.0
ARWIBO,58.0,4.0,4.0,2.0,6.0,101.0,25.0,17.0
EDSD,12.0,1.0,3.0,1.0,6.0,30.0,9.0,23.0
PREVENT-AD,40.0,4.0,0.0,3.0,1.0,78.0,1.0,6.0
PharmaCog,45.0,1.0,2.0,0.0,2.0,71.0,3.0,21.0
NACC,157.0,4.0,5.0,11.0,14.0,201.0,56.0,58.0
EMIF,277.0,14.0,12.0,15.0,68.0,398.0,72.0,158.0
DOD-ADNI,42.0,11.0,1.0,1.0,1.0,49.0,0.0,8.0
JADNI,50.0,0.0,1.0,0.0,27.0,67.0,3.0,49.0
