,A-T-N-,A-T+N+,A-T-N+,A-T+N-,A+T+N-,A+T-N-,A+T-N+,A+T+N+
ADNI,280.0,32.0,11.0,0.0,10.0,432.0,18.0,234.0
EPAD,576.0,52.0,3.0,6.0,19.0,428.0,6.0,147.0
AIBL,16.0,0.0,2.0,0.0,0.0,29.0,1.0,9.0
ARWIBO,61.0,1.0,4.0,2.0,2.0,113.0,27.0,7.0
EDSD,16.0,1.0,7.0,0.0,0.0,26.0,35.0,0.0
PREVENT-AD,90.0,10.0,4.0,0.0,0.0,19.0,5.0,5.0
PharmaCog,46.0,1.0,2.0,0.0,2.0,70.0,3.0,21.0
NACC,154.0,6.0,13.0,4.0,13.0,208.0,47.0,61.0
EMIF,297.0,15.0,11.0,10.0,47.0,426.0,56.0,152.0
DOD-ADNI,19.0,6.0,0.0,1.0,2.0,79.0,1.0,5.0
JADNI,55.0,0.0,0.0,0.0,42.0,68.0,2.0,30.0
