,A-T-N-,A-T+N+,A-T-N+,A-T+N-,A+T+N-,A+T-N-,A+T-N+,A+T+N+
ADNI,252.0,24.0,6.0,0.0,28.0,455.0,13.0,239.0
EPAD,597.0,44.0,8.0,3.0,14.0,427.0,4.0,140.0
AIBL,10.0,0.0,1.0,1.0,0.0,33.0,3.0,9.0
ARWIBO,57.0,2.0,15.0,1.0,1.0,73.0,56.0,12.0
EDSD,19.0,1.0,11.0,0.0,0.0,19.0,34.0,1.0
PREVENT-AD,116.0,6.0,2.0,0.0,0.0,7.0,1.0,1.0
PharmaCog,41.0,0.0,2.0,0.0,2.0,73.0,5.0,22.0
NACC,171.0,10.0,16.0,7.0,5.0,156.0,74.0,67.0
EMIF,287.0,14.0,4.0,7.0,67.0,480.0,30.0,125.0
DOD-ADNI,11.0,5.0,0.0,1.0,3.0,86.0,0.0,7.0
JADNI,54.0,0.0,1.0,0.0,17.0,66.0,5.0,54.0
