,A-T-N-,A-T+N+,A-T-N+,A-T+N-,A+T+N-,A+T-N-,A+T-N+,A+T+N+
ADNI,253.0,26.0,10.0,0.0,39.0,411.0,9.0,269.0
EPAD,603.0,47.0,6.0,6.0,18.0,418.0,2.0,137.0
AIBL,17.0,3.0,1.0,1.0,1.0,15.0,4.0,15.0
ARWIBO,63.0,1.0,7.0,2.0,1.0,104.0,33.0,6.0
EDSD,22.0,0.0,3.0,2.0,0.0,39.0,14.0,5.0
PREVENT-AD,103.0,1.0,0.0,8.0,3.0,18.0,0.0,0.0
PharmaCog,46.0,2.0,1.0,0.0,1.0,65.0,7.0,23.0
NACC,176.0,7.0,8.0,4.0,13.0,193.0,46.0,59.0
EMIF,283.0,15.0,14.0,5.0,32.0,413.0,78.0,174.0
DOD-ADNI,18.0,6.0,0.0,1.0,0.0,79.0,0.0,9.0
JADNI,53.0,0.0,3.0,0.0,12.0,60.0,9.0,60.0
