,A-T-N-,A-T+N+,A-T-N+,A-T+N-,A+T+N-,A+T-N-,A+T-N+,A+T+N+
ADNI,258.0,22.0,6.0,0.0,14.0,469.0,19.0,229.0
EPAD,565.0,49.0,5.0,5.0,17.0,440.0,6.0,150.0
AIBL,15.0,0.0,0.0,0.0,5.0,34.0,0.0,3.0
ARWIBO,44.0,10.0,6.0,5.0,5.0,70.0,21.0,56.0
EDSD,20.0,1.0,5.0,1.0,0.0,37.0,16.0,5.0
PREVENT-AD,98.0,17.0,2.0,6.0,0.0,5.0,2.0,3.0
PharmaCog,51.0,0.0,0.0,1.0,20.0,70.0,0.0,3.0
NACC,182.0,5.0,10.0,4.0,16.0,189.0,43.0,57.0
EMIF,287.0,18.0,17.0,4.0,26.0,411.0,82.0,169.0
DOD-ADNI,19.0,5.0,0.0,1.0,2.0,79.0,0.0,7.0
JADNI,54.0,0.0,1.0,0.0,20.0,82.0,2.0,38.0
