,A-T-N-,A-T+N+,A-T-N+,A-T+N-,A+T+N-,A+T-N-,A+T-N+,A+T+N+
ADNI,266.0,32.0,9.0,0.0,36.0,416.0,11.0,247.0
EPAD,600.0,46.0,7.0,4.0,15.0,423.0,3.0,139.0
AIBL,14.0,0.0,2.0,0.0,0.0,32.0,1.0,8.0
ARWIBO,57.0,2.0,15.0,1.0,1.0,67.0,62.0,12.0
EDSD,4.0,0.0,2.0,1.0,0.0,55.0,16.0,7.0
PREVENT-AD,8.0,1.0,0.0,1.0,1.0,112.0,2.0,8.0
PharmaCog,45.0,1.0,2.0,0.0,1.0,68.0,5.0,23.0
NACC,148.0,3.0,12.0,1.0,9.0,229.0,50.0,54.0
EMIF,314.0,15.0,5.0,9.0,53.0,455.0,37.0,126.0
DOD-ADNI,29.0,7.0,0.0,1.0,1.0,68.0,0.0,7.0
JADNI,55.0,0.0,0.0,0.0,19.0,93.0,3.0,27.0
