,A-T-N-,A-T+N+,A-T-N+,A-T+N-,A+T+N-,A+T-N-,A+T-N+,A+T+N+
ADNI,258.0,26.0,7.0,0.0,39.0,425.0,8.0,254.0
EPAD,568.0,51.0,4.0,5.0,16.0,431.0,9.0,153.0
AIBL,11.0,0.0,1.0,0.0,0.0,33.0,3.0,9.0
ARWIBO,63.0,2.0,9.0,1.0,3.0,94.0,33.0,12.0
EDSD,23.0,1.0,5.0,1.0,2.0,32.0,10.0,11.0
PREVENT-AD,113.0,6.0,2.0,0.0,0.0,10.0,1.0,1.0
PharmaCog,44.0,1.0,2.0,0.0,2.0,71.0,4.0,21.0
NACC,177.0,5.0,1.0,5.0,41.0,216.0,34.0,27.0
EMIF,309.0,15.0,7.0,8.0,43.0,426.0,61.0,145.0
DOD-ADNI,0.0,57.0,1.0,0.0,0.0,2.0,8.0,45.0
JADNI,53.0,0.0,1.0,0.0,22.0,67.0,3.0,51.0
