,A-T-N-,A-T+N+,A-T-N+,A-T+N-,A+T+N-,A+T-N-,A+T-N+,A+T+N+
ADNI,274.0,23.0,0.0,4.0,44.0,480.0,4.0,188.0
EPAD,574.0,58.0,2.0,3.0,20.0,415.0,9.0,156.0
AIBL,1.0,1.0,0.0,8.0,22.0,14.0,0.0,11.0
ARWIBO,63.0,1.0,5.0,2.0,2.0,111.0,27.0,6.0
EDSD,22.0,1.0,3.0,1.0,0.0,38.0,13.0,7.0
PREVENT-AD,91.0,15.0,2.0,4.0,0.0,12.0,4.0,5.0
PharmaCog,47.0,1.0,2.0,0.0,1.0,67.0,4.0,23.0
NACC,178.0,8.0,8.0,8.0,15.0,179.0,43.0,67.0
EMIF,295.0,18.0,18.0,6.0,25.0,392.0,82.0,178.0
DOD-ADNI,35.0,7.0,0.0,2.0,1.0,61.0,0.0,7.0
JADNI,53.0,0.0,2.0,0.0,14.0,66.0,6.0,56.0
