,A-T-N-,A-T+N+,A-T-N+,A-T+N-,A+T+N-,A+T-N-,A+T-N+,A+T+N+
ADNI,258.0,24.0,4.0,0.0,34.0,448.0,12.0,237.0
EPAD,601.0,45.0,8.0,3.0,14.0,424.0,3.0,139.0
AIBL,11.0,0.0,1.0,0.0,0.0,34.0,2.0,9.0
ARWIBO,55.0,5.0,12.0,2.0,3.0,74.0,47.0,19.0
EDSD,19.0,1.0,4.0,1.0,2.0,36.0,10.0,12.0
PREVENT-AD,89.0,3.0,0.0,5.0,4.0,30.0,0.0,2.0
PharmaCog,44.0,0.0,0.0,0.0,5.0,75.0,2.0,19.0
NACC,167.0,7.0,13.0,14.0,18.0,151.0,55.0,81.0
EMIF,308.0,23.0,12.0,8.0,34.0,393.0,58.0,178.0
DOD-ADNI,16.0,11.0,1.0,0.0,2.0,75.0,0.0,8.0
JADNI,56.0,1.0,2.0,0.0,30.0,44.0,3.0,61.0
