,A-T-N-,A-T+N+,A-T-N+,A-T+N-,A+T+N-,A+T-N-,A+T-N+,A+T+N+
ADNI,268.0,20.0,4.0,0.0,20.0,481.0,19.0,205.0
EPAD,587.0,53.0,4.0,6.0,19.0,416.0,5.0,147.0
AIBL,7.0,1.0,1.0,0.0,0.0,36.0,3.0,9.0
ARWIBO,59.0,6.0,5.0,2.0,7.0,92.0,28.0,18.0
EDSD,20.0,1.0,5.0,1.0,0.0,25.0,28.0,5.0
PREVENT-AD,93.0,9.0,0.0,1.0,0.0,24.0,1.0,5.0
PharmaCog,39.0,1.0,1.0,0.0,1.0,66.0,12.0,25.0
NACC,126.0,7.0,11.0,8.0,9.0,192.0,77.0,76.0
EMIF,308.0,21.0,17.0,9.0,29.0,365.0,88.0,177.0
DOD-ADNI,35.0,8.0,0.0,1.0,0.0,61.0,0.0,8.0
JADNI,55.0,0.0,1.0,0.0,23.0,72.0,2.0,44.0
