,A-T-N-,A-T+N+,A-T-N+,A-T+N-,A+T+N-,A+T-N-,A+T-N+,A+T+N+
ADNI,277.0,23.0,6.0,0.0,9.0,479.0,31.0,192.0
EPAD,593.0,59.0,2.0,4.0,18.0,401.0,11.0,149.0
AIBL,18.0,1.0,1.0,1.0,0.0,25.0,1.0,10.0
ARWIBO,59.0,0.0,10.0,1.0,0.0,98.0,49.0,0.0
EDSD,24.0,0.0,1.0,2.0,1.0,48.0,3.0,6.0
PREVENT-AD,5.0,0.0,0.0,1.0,0.0,126.0,0.0,1.0
PharmaCog,43.0,1.0,7.0,0.0,1.0,55.0,16.0,22.0
NACC,151.0,3.0,20.0,4.0,14.0,201.0,57.0,56.0
EMIF,310.0,17.0,9.0,8.0,47.0,415.0,54.0,154.0
DOD-ADNI,54.0,9.0,0.0,1.0,0.0,42.0,0.0,7.0
JADNI,55.0,0.0,1.0,0.0,25.0,71.0,2.0,43.0
