,A-T-N-,A-T+N+,A-T-N+,A-T+N-,A+T+N-,A+T-N-,A+T-N+,A+T+N+
ADNI,270.0,20.0,1.0,0.0,23.0,508.0,10.0,185.0
EPAD,597.0,55.0,4.0,6.0,18.0,405.0,7.0,145.0
AIBL,12.0,0.0,1.0,0.0,0.0,33.0,2.0,9.0
ARWIBO,38.0,7.0,4.0,16.0,36.0,60.0,3.0,53.0
EDSD,19.0,2.0,2.0,1.0,5.0,36.0,6.0,14.0
PREVENT-AD,52.0,1.0,0.0,1.0,2.0,74.0,0.0,3.0
PharmaCog,49.0,0.0,0.0,2.0,22.0,68.0,0.0,4.0
NACC,178.0,7.0,7.0,3.0,11.0,190.0,53.0,57.0
EMIF,268.0,28.0,12.0,101.0,41.0,345.0,77.0,142.0
DOD-ADNI,46.0,6.0,0.0,5.0,2.0,48.0,0.0,6.0
JADNI,52.0,0.0,3.0,0.0,10.0,65.0,7.0,60.0
