,A-T-N-,A-T+N+,A-T-N+,A-T+N-,A+T+N-,A+T-N-,A+T-N+,A+T+N+
ADNI,274.0,33.0,9.0,0.0,41.0,401.0,7.0,252.0
EPAD,590.0,53.0,4.0,6.0,17.0,409.0,10.0,148.0
AIBL,20.0,0.0,2.0,0.0,0.0,27.0,0.0,8.0
ARWIBO,58.0,8.0,2.0,6.0,11.0,90.0,19.0,23.0
EDSD,21.0,2.0,3.0,1.0,7.0,31.0,5.0,15.0
PREVENT-AD,116.0,2.0,2.0,0.0,0.0,13.0,0.0,0.0
PharmaCog,41.0,0.0,2.0,0.0,2.0,73.0,5.0,22.0
NACC,184.0,6.0,8.0,3.0,10.0,183.0,52.0,60.0
EMIF,292.0,17.0,11.0,9.0,38.0,409.0,73.0,165.0
DOD-ADNI,34.0,6.0,0.0,2.0,2.0,63.0,0.0,6.0
JADNI,55.0,0.0,2.0,0.0,14.0,61.0,7.0,58.0
