,A-T-N-,A-T+N+,A-T-N+,A-T+N-,A+T+N-,A+T-N-,A+T-N+,A+T+N+
ADNI,269.0,20.0,3.0,0.0,22.0,497.0,16.0,190.0
EPAD,594.0,48.0,4.0,5.0,18.0,425.0,3.0,140.0
AIBL,20.0,0.0,4.0,0.0,0.0,13.0,11.0,9.0
ARWIBO,46.0,5.0,4.0,2.0,4.0,85.0,37.0,34.0
EDSD,23.0,1.0,4.0,1.0,0.0,36.0,15.0,5.0
PREVENT-AD,88.0,14.0,0.0,7.0,0.0,15.0,4.0,5.0
PharmaCog,45.0,1.0,2.0,0.0,1.0,65.0,9.0,22.0
NACC,152.0,11.0,9.0,7.0,14.0,187.0,48.0,78.0
EMIF,283.0,13.0,13.0,4.0,38.0,433.0,72.0,158.0
DOD-ADNI,46.0,10.0,1.0,2.0,1.0,45.0,0.0,8.0
JADNI,34.0,0.0,23.0,0.0,0.0,29.0,41.0,70.0
