,A-T-N-,A-T+N+,A-T-N+,A-T+N-,A+T+N-,A+T-N-,A+T-N+,A+T+N+
ADNI,265.0,33.0,8.0,0.0,50.0,401.0,3.0,257.0
EPAD,590.0,56.0,2.0,7.0,21.0,404.0,8.0,149.0
AIBL,10.0,1.0,1.0,0.0,0.0,27.0,9.0,9.0
ARWIBO,60.0,2.0,9.0,1.0,3.0,93.0,40.0,9.0
EDSD,21.0,1.0,4.0,1.0,0.0,38.0,15.0,5.0
PREVENT-AD,0.0,1.0,0.0,0.0,2.0,120.0,2.0,8.0
PharmaCog,38.0,2.0,2.0,0.0,2.0,61.0,7.0,33.0
NACC,142.0,7.0,9.0,8.0,17.0,206.0,47.0,70.0
EMIF,295.0,18.0,13.0,5.0,37.0,419.0,57.0,170.0
DOD-ADNI,47.0,6.0,0.0,2.0,1.0,50.0,0.0,7.0
JADNI,0.0,4.0,52.0,0.0,0.0,1.0,42.0,98.0
