,A-T-N-,A-T+N+,A-T-N+,A-T+N-,A+T+N-,A+T-N-,A+T-N+,A+T+N+
ADNI,268.0,32.0,7.0,0.0,36.0,423.0,10.0,241.0
EPAD,570.0,50.0,4.0,6.0,18.0,433.0,6.0,150.0
AIBL,22.0,0.0,0.0,0.0,0.0,27.0,0.0,8.0
ARWIBO,49.0,4.0,10.0,2.0,3.0,76.0,53.0,20.0
EDSD,21.0,2.0,3.0,1.0,7.0,31.0,4.0,16.0
PREVENT-AD,110.0,10.0,1.0,2.0,1.0,7.0,0.0,2.0
PharmaCog,44.0,2.0,2.0,0.0,1.0,61.0,11.0,24.0
NACC,170.0,3.0,6.0,2.0,8.0,206.0,52.0,59.0
EMIF,298.0,13.0,11.0,6.0,44.0,433.0,63.0,146.0
DOD-ADNI,9.0,5.0,0.0,1.0,2.0,89.0,0.0,7.0
JADNI,47.0,0.0,3.0,0.0,12.0,67.0,8.0,60.0
