,A-T-N-,A-T+N+,A-T-N+,A-T+N-,A+T+N-,A+T-N-,A+T-N+,A+T+N+
ADNI,257.0,34.0,0.0,29.0,184.0,275.0,0.0,238.0
EPAD,584.0,52.0,5.0,5.0,16.0,422.0,6.0,147.0
AIBL,15.0,0.0,2.0,0.0,0.0,30.0,1.0,9.0
ARWIBO,54.0,3.0,5.0,2.0,5.0,104.0,28.0,16.0
EDSD,14.0,1.0,3.0,1.0,5.0,33.0,8.0,20.0
PREVENT-AD,63.0,11.0,0.0,38.0,5.0,11.0,0.0,5.0
PharmaCog,42.0,2.0,8.0,0.0,1.0,47.0,21.0,24.0
NACC,166.0,4.0,6.0,4.0,15.0,211.0,49.0,51.0
EMIF,306.0,15.0,14.0,6.0,38.0,425.0,59.0,151.0
DOD-ADNI,36.0,8.0,0.0,1.0,0.0,60.0,0.0,8.0
JADNI,54.0,0.0,1.0,0.0,21.0,69.0,3.0,49.0
