,A-T-N-,A-T+N+,A-T-N+,A-T+N-,A+T+N-,A+T-N-,A+T-N+,A+T+N+
ADNI,284.0,23.0,6.0,0.0,17.0,481.0,25.0,181.0
EPAD,596.0,61.0,2.0,5.0,19.0,396.0,9.0,149.0
AIBL,20.0,0.0,0.0,0.0,1.0,28.0,0.0,8.0
ARWIBO,130.0,32.0,25.0,13.0,1.0,11.0,2.0,3.0
EDSD,3.0,0.0,2.0,1.0,7.0,50.0,5.0,17.0
PREVENT-AD,99.0,1.0,0.0,4.0,3.0,26.0,0.0,0.0
PharmaCog,43.0,0.0,0.0,0.0,23.0,78.0,0.0,1.0
NACC,177.0,10.0,12.0,15.0,19.0,165.0,42.0,66.0
EMIF,306.0,19.0,14.0,6.0,32.0,405.0,70.0,162.0
DOD-ADNI,31.0,4.0,2.0,1.0,2.0,67.0,1.0,5.0
JADNI,57.0,0.0,2.0,0.0,10.0,71.0,6.0,51.0
