,A-T-N-,A-T+N+,A-T-N+,A-T+N-,A+T+N-,A+T-N-,A+T-N+,A+T+N+
ADNI,262.0,19.0,1.0,0.0,44.0,507.0,4.0,180.0
EPAD,586.0,55.0,2.0,7.0,21.0,409.0,6.0,151.0
AIBL,18.0,0.0,0.0,0.0,4.0,31.0,0.0,4.0
ARWIBO,53.0,11.0,6.0,5.0,3.0,66.0,33.0,40.0
EDSD,20.0,1.0,5.0,1.0,0.0,37.0,15.0,6.0
PREVENT-AD,73.0,7.0,0.0,3.0,0.0,42.0,1.0,7.0
PharmaCog,44.0,1.0,2.0,0.0,2.0,73.0,2.0,21.0
NACC,189.0,7.0,5.0,9.0,26.0,194.0,32.0,44.0
EMIF,297.0,13.0,9.0,6.0,44.0,473.0,38.0,134.0
DOD-ADNI,16.0,6.0,0.0,0.0,1.0,82.0,0.0,8.0
JADNI,50.0,0.0,5.0,0.0,6.0,58.0,12.0,66.0
