,A-T-N-,A-T+N+,A-T-N+,A-T+N-,A+T+N-,A+T-N-,A+T-N+,A+T+N+
ADNI,272.0,22.0,5.0,0.0,19.0,495.0,20.0,184.0
EPAD,593.0,57.0,4.0,4.0,15.0,404.0,12.0,148.0
AIBL,8.0,0.0,2.0,0.0,0.0,32.0,6.0,9.0
ARWIBO,54.0,4.0,10.0,2.0,3.0,84.0,40.0,20.0
EDSD,6.0,0.0,2.0,1.0,5.0,49.0,6.0,16.0
PREVENT-AD,111.0,6.0,4.0,0.0,0.0,10.0,1.0,1.0
PharmaCog,38.0,1.0,1.0,1.0,3.0,64.0,6.0,31.0
NACC,142.0,3.0,6.0,4.0,13.0,247.0,43.0,48.0
EMIF,340.0,25.0,14.0,10.0,27.0,373.0,66.0,159.0
DOD-ADNI,10.0,7.0,0.0,2.0,0.0,85.0,0.0,9.0
JADNI,55.0,0.0,1.0,0.0,23.0,66.0,3.0,49.0
