,A-T-N-,A-T+N+,A-T-N+,A-T+N-,A+T+N-,A+T-N-,A+T-N+,A+T+N+
ADNI,266.0,33.0,9.0,0.0,48.0,395.0,4.0,262.0
EPAD,570.0,57.0,2.0,3.0,18.0,420.0,10.0,157.0
AIBL,18.0,0.0,0.0,0.0,0.0,31.0,1.0,7.0
ARWIBO,52.0,5.0,12.0,2.0,3.0,77.0,47.0,19.0
EDSD,18.0,0.0,1.0,2.0,1.0,58.0,1.0,4.0
PREVENT-AD,96.0,2.0,0.0,6.0,3.0,26.0,0.0,0.0
PharmaCog,45.0,1.0,2.0,0.0,1.0,69.0,4.0,23.0
NACC,170.0,6.0,7.0,13.0,21.0,184.0,47.0,58.0
EMIF,290.0,20.0,15.0,9.0,41.0,402.0,74.0,163.0
DOD-ADNI,29.0,22.0,2.0,2.0,2.0,44.0,2.0,10.0
JADNI,56.0,0.0,0.0,0.0,33.0,73.0,2.0,33.0
