,A-T-N-,A-T+N+,A-T-N+,A-T+N-,A+T+N-,A+T-N-,A+T-N+,A+T+N+
ADNI,277.0,25.0,8.0,0.0,2.0,466.0,33.0,206.0
EPAD,572.0,55.0,2.0,5.0,19.0,424.0,9.0,151.0
AIBL,18.0,0.0,2.0,0.0,0.0,29.0,0.0,8.0
ARWIBO,116.0,30.0,27.0,7.0,1.0,23.0,5.0,8.0
EDSD,20.0,1.0,5.0,1.0,0.0,29.0,24.0,5.0
PREVENT-AD,0.0,1.0,0.0,0.0,2.0,120.0,1.0,9.0
PharmaCog,34.0,1.0,8.0,0.0,1.0,46.0,30.0,25.0
NACC,161.0,13.0,15.0,14.0,27.0,162.0,42.0,72.0
EMIF,299.0,16.0,8.0,10.0,54.0,417.0,61.0,149.0
DOD-ADNI,50.0,8.0,0.0,0.0,0.0,47.0,0.0,8.0
JADNI,52.0,0.0,1.0,0.0,30.0,75.0,2.0,37.0
