,A-T-N-,A-T+N+,A-T-N+,A-T+N-,A+T+N-,A+T-N-,A+T-N+,A+T+N+
ADNI,279.0,25.0,6.0,0.0,6.0,470.0,24.0,207.0
EPAD,571.0,58.0,2.0,3.0,19.0,418.0,9.0,157.0
AIBL,18.0,0.0,2.0,0.0,1.0,28.0,0.0,8.0
ARWIBO,44.0,6.0,5.0,8.0,12.0,76.0,12.0,54.0
EDSD,18.0,2.0,3.0,1.0,4.0,27.0,10.0,20.0
PREVENT-AD,0.0,1.0,0.0,0.0,4.0,113.0,2.0,13.0
PharmaCog,44.0,0.0,0.0,0.0,19.0,77.0,0.0,5.0
NACC,155.0,6.0,9.0,12.0,16.0,190.0,50.0,68.0
EMIF,297.0,13.0,7.0,12.0,49.0,450.0,38.0,148.0
DOD-ADNI,54.0,11.0,1.0,2.0,0.0,38.0,0.0,7.0
JADNI,62.0,1.0,2.0,0.0,18.0,58.0,4.0,52.0
