,A-T-N-,A-T+N+,A-T-N+,A-T+N-,A+T+N-,A+T-N-,A+T-N+,A+T+N+
ADNI,258.0,27.0,9.0,0.0,44.0,416.0,5.0,258.0
EPAD,583.0,47.0,3.0,6.0,22.0,438.0,1.0,137.0
AIBL,0.0,0.0,0.0,18.0,32.0,4.0,0.0,3.0
ARWIBO,59.0,2.0,6.0,1.0,0.0,107.0,36.0,6.0
EDSD,26.0,2.0,3.0,1.0,10.0,23.0,3.0,17.0
PREVENT-AD,88.0,5.0,0.0,2.0,0.0,33.0,1.0,4.0
PharmaCog,42.0,0.0,0.0,0.0,6.0,78.0,1.0,18.0
NACC,156.0,7.0,11.0,14.0,23.0,169.0,48.0,78.0
EMIF,287.0,12.0,12.0,7.0,44.0,438.0,59.0,155.0
DOD-ADNI,7.0,3.0,2.0,0.0,1.0,91.0,2.0,7.0
JADNI,53.0,0.0,1.0,0.0,21.0,73.0,2.0,47.0
