,A-T-N-,A-T+N+,A-T-N+,A-T+N-,A+T+N-,A+T-N-,A+T-N+,A+T+N+
ADNI,274.0,35.0,9.0,0.0,45.0,389.0,4.0,261.0
EPAD,587.0,58.0,2.0,4.0,19.0,405.0,9.0,153.0
AIBL,0.0,0.0,0.0,10.0,29.0,9.0,0.0,9.0
ARWIBO,61.0,3.0,6.0,1.0,5.0,100.0,27.0,14.0
EDSD,21.0,1.0,5.0,0.0,0.0,37.0,18.0,3.0
PREVENT-AD,81.0,5.0,0.0,4.0,1.0,37.0,0.0,5.0
PharmaCog,45.0,1.0,2.0,0.0,1.0,65.0,9.0,22.0
NACC,141.0,4.0,11.0,7.0,17.0,218.0,48.0,60.0
EMIF,278.0,15.0,9.0,8.0,57.0,427.0,47.0,173.0
DOD-ADNI,8.0,10.0,1.0,0.0,0.0,85.0,0.0,9.0
JADNI,55.0,0.0,2.0,0.0,15.0,62.0,7.0,56.0
