,A-T-N-,A-T+N+,A-T-N+,A-T+N-,A+T+N-,A+T-N-,A+T-N+,A+T+N+
ADNI,264.0,19.0,4.0,0.0,11.0,487.0,25.0,207.0
EPAD,588.0,49.0,3.0,5.0,21.0,428.0,2.0,141.0
AIBL,16.0,0.0,2.0,0.0,0.0,28.0,2.0,9.0
ARWIBO,49.0,3.0,8.0,1.0,2.0,88.0,48.0,18.0
EDSD,19.0,2.0,5.0,1.0,2.0,23.0,12.0,21.0
PREVENT-AD,0.0,1.0,0.0,0.0,3.0,117.0,1.0,11.0
PharmaCog,41.0,1.0,1.0,0.0,2.0,73.0,4.0,23.0
NACC,165.0,4.0,4.0,10.0,21.0,205.0,41.0,56.0
EMIF,286.0,19.0,16.0,7.0,33.0,410.0,79.0,164.0
DOD-ADNI,17.0,5.0,0.0,1.0,2.0,81.0,0.0,7.0
JADNI,56.0,0.0,1.0,0.0,32.0,59.0,2.0,47.0
