,A-T-N-,A-T+N+,A-T-N+,A-T+N-,A+T+N-,A+T-N-,A+T-N+,A+T+N+
ADNI,278.0,25.0,8.0,0.0,4.0,465.0,29.0,208.0
EPAD,591.0,53.0,4.0,6.0,18.0,412.0,6.0,147.0
AIBL,15.0,0.0,2.0,0.0,0.0,29.0,2.0,9.0
ARWIBO,57.0,5.0,5.0,2.0,7.0,95.0,27.0,19.0
EDSD,19.0,1.0,5.0,1.0,0.0,36.0,18.0,5.0
PREVENT-AD,0.0,1.0,0.0,0.0,9.0,107.0,1.0,15.0
PharmaCog,44.0,1.0,4.0,0.0,1.0,61.0,12.0,22.0
NACC,146.0,4.0,13.0,10.0,20.0,205.0,43.0,65.0
EMIF,278.0,18.0,18.0,6.0,33.0,408.0,87.0,166.0
DOD-ADNI,33.0,9.0,0.0,1.0,0.0,62.0,0.0,8.0
JADNI,58.0,0.0,1.0,0.0,28.0,66.0,2.0,42.0
