,A-T-N-,A-T+N+,A-T-N+,A-T+N-,A+T+N-,A+T-N-,A+T-N+,A+T+N+
ADNI,273.0,21.0,3.0,0.0,22.0,495.0,14.0,189.0
EPAD,590.0,55.0,2.0,6.0,20.0,407.0,8.0,149.0
AIBL,20.0,0.0,2.0,0.0,1.0,26.0,0.0,8.0
ARWIBO,59.0,0.0,10.0,1.0,0.0,99.0,48.0,0.0
EDSD,25.0,1.0,2.0,2.0,11.0,29.0,3.0,12.0
PREVENT-AD,102.0,5.0,2.0,0.0,0.0,21.0,1.0,2.0
PharmaCog,46.0,1.0,2.0,0.0,2.0,69.0,4.0,21.0
NACC,147.0,5.0,9.0,3.0,8.0,204.0,63.0,67.0
EMIF,283.0,16.0,16.0,5.0,30.0,415.0,86.0,163.0
DOD-ADNI,10.0,6.0,0.0,0.0,0.0,87.0,0.0,10.0
JADNI,56.0,0.0,1.0,0.0,22.0,68.0,2.0,48.0
