,A-T-N-,A-T+N+,A-T-N+,A-T+N-,A+T+N-,A+T-N-,A+T-N+,A+T+N+
ADNI,260.0,25.0,4.0,0.0,33.0,448.0,11.0,236.0
EPAD,598.0,52.0,2.0,6.0,22.0,416.0,2.0,139.0
AIBL,22.0,0.0,2.0,0.0,0.0,22.0,2.0,9.0
ARWIBO,45.0,7.0,5.0,8.0,14.0,74.0,11.0,53.0
EDSD,21.0,1.0,7.0,1.0,0.0,25.0,24.0,6.0
PREVENT-AD,113.0,6.0,2.0,0.0,0.0,10.0,1.0,1.0
PharmaCog,41.0,0.0,2.0,0.0,1.0,70.0,7.0,24.0
NACC,178.0,6.0,4.0,10.0,20.0,190.0,41.0,57.0
EMIF,308.0,16.0,12.0,6.0,39.0,419.0,62.0,152.0
DOD-ADNI,87.0,11.0,0.0,2.0,1.0,10.0,0.0,2.0
JADNI,54.0,0.0,1.0,0.0,12.0,70.0,7.0,53.0
