,A-T-N-,A-T+N+,A-T-N+,A-T+N-,A+T+N-,A+T-N-,A+T-N+,A+T+N+
ADNI,267.0,20.0,4.0,0.0,18.0,484.0,19.0,205.0
EPAD,577.0,59.0,4.0,3.0,18.0,410.0,9.0,157.0
AIBL,8.0,0.0,1.0,1.0,0.0,35.0,3.0,9.0
ARWIBO,58.0,0.0,15.0,1.0,0.0,78.0,65.0,0.0
EDSD,20.0,0.0,1.0,6.0,23.0,30.0,0.0,5.0
PREVENT-AD,95.0,9.0,0.0,3.0,0.0,20.0,1.0,5.0
PharmaCog,46.0,1.0,2.0,0.0,3.0,69.0,3.0,21.0
NACC,150.0,4.0,9.0,4.0,17.0,220.0,42.0,60.0
EMIF,291.0,24.0,20.0,10.0,32.0,354.0,84.0,199.0
DOD-ADNI,82.0,14.0,0.0,4.0,0.0,10.0,0.0,3.0
JADNI,56.0,0.0,1.0,0.0,26.0,74.0,2.0,38.0
