,A-T-N-,A-T+N+,A-T-N+,A-T+N-,A+T+N-,A+T-N-,A+T-N+,A+T+N+
ADNI,271.0,23.0,8.0,0.0,4.0,472.0,29.0,210.0
EPAD,575.0,51.0,3.0,5.0,18.0,433.0,6.0,146.0
AIBL,15.0,0.0,2.0,0.0,0.0,29.0,2.0,9.0
ARWIBO,64.0,2.0,7.0,1.0,3.0,99.0,32.0,9.0
EDSD,22.0,0.0,3.0,2.0,2.0,38.0,7.0,11.0
PREVENT-AD,112.0,10.0,1.0,1.0,1.0,6.0,0.0,2.0
PharmaCog,49.0,1.0,0.0,0.0,4.0,69.0,2.0,20.0
NACC,184.0,6.0,11.0,3.0,5.0,174.0,59.0,64.0
EMIF,320.0,21.0,7.0,11.0,50.0,396.0,50.0,159.0
DOD-ADNI,8.0,9.0,1.0,1.0,2.0,83.0,0.0,9.0
JADNI,54.0,0.0,1.0,0.0,28.0,70.0,2.0,42.0
