,A-T-N-,A-T+N+,A-T-N+,A-T+N-,A+T+N-,A+T-N-,A+T-N+,A+T+N+
ADNI,281.0,25.0,4.0,0.0,18.0,485.0,21.0,183.0
EPAD,602.0,45.0,8.0,4.0,15.0,424.0,2.0,137.0
AIBL,11.0,0.0,1.0,0.0,0.0,33.0,3.0,9.0
ARWIBO,54.0,2.0,14.0,1.0,1.0,80.0,57.0,8.0
EDSD,17.0,2.0,7.0,0.0,0.0,25.0,29.0,5.0
PREVENT-AD,104.0,8.0,0.0,4.0,1.0,13.0,1.0,2.0
PharmaCog,41.0,0.0,1.0,0.0,1.0,72.0,6.0,24.0
NACC,159.0,7.0,13.0,5.0,12.0,187.0,54.0,69.0
EMIF,307.0,17.0,14.0,7.0,30.0,402.0,77.0,160.0
DOD-ADNI,3.0,2.0,0.0,3.0,8.0,90.0,0.0,7.0
JADNI,55.0,0.0,1.0,0.0,18.0,64.0,5.0,54.0
