,A-T-N-,A-T+N+,A-T-N+,A-T+N-,A+T+N-,A+T-N-,A+T-N+,A+T+N+
ADNI,260.0,26.0,5.0,0.0,42.0,432.0,7.0,245.0
EPAD,579.0,59.0,5.0,3.0,15.0,407.0,9.0,160.0
AIBL,18.0,0.0,2.0,0.0,1.0,28.0,0.0,8.0
ARWIBO,58.0,0.0,15.0,1.0,0.0,85.0,58.0,0.0
EDSD,21.0,0.0,1.0,2.0,1.0,54.0,2.0,4.0
PREVENT-AD,113.0,2.0,6.0,0.0,0.0,10.0,2.0,0.0
PharmaCog,46.0,1.0,2.0,0.0,1.0,68.0,5.0,22.0
NACC,177.0,9.0,8.0,9.0,13.0,168.0,49.0,73.0
EMIF,306.0,18.0,11.0,6.0,33.0,415.0,64.0,161.0
DOD-ADNI,46.0,7.0,0.0,2.0,1.0,50.0,0.0,7.0
JADNI,56.0,0.0,1.0,0.0,31.0,64.0,2.0,43.0
