,A-T-N-,A-T+N+,A-T-N+,A-T+N-,A+T+N-,A+T-N-,A+T-N+,A+T+N+
ADNI,283.0,26.0,9.0,0.0,2.0,459.0,28.0,210.0
EPAD,600.0,47.0,7.0,4.0,15.0,423.0,3.0,138.0
AIBL,15.0,0.0,2.0,0.0,0.0,32.0,0.0,8.0
ARWIBO,19.0,1.0,1.0,1.0,10.0,143.0,21.0,21.0
EDSD,20.0,1.0,4.0,1.0,0.0,39.0,15.0,5.0
PREVENT-AD,39.0,1.0,2.0,0.0,0.0,83.0,7.0,1.0
PharmaCog,41.0,0.0,2.0,0.0,1.0,67.0,10.0,24.0
NACC,149.0,7.0,10.0,3.0,6.0,191.0,67.0,73.0
EMIF,289.0,16.0,11.0,8.0,45.0,423.0,53.0,169.0
DOD-ADNI,18.0,6.0,1.0,0.0,0.0,79.0,0.0,9.0
JADNI,58.0,0.0,1.0,0.0,36.0,66.0,2.0,34.0
