,A-T-N-,A-T+N+,A-T-N+,A-T+N-,A+T+N-,A+T-N-,A+T-N+,A+T+N+
ADNI,279.0,23.0,0.0,6.0,78.0,475.0,3.0,153.0
EPAD,569.0,54.0,2.0,5.0,20.0,424.0,9.0,154.0
AIBL,19.0,1.0,2.0,0.0,0.0,24.0,2.0,9.0
ARWIBO,43.0,12.0,7.0,4.0,6.0,65.0,20.0,60.0
EDSD,23.0,1.0,1.0,2.0,9.0,36.0,3.0,10.0
PREVENT-AD,0.0,1.0,0.0,0.0,12.0,103.0,0.0,17.0
PharmaCog,48.0,1.0,0.0,0.0,3.0,71.0,2.0,20.0
NACC,183.0,8.0,13.0,1.0,3.0,188.0,62.0,48.0
EMIF,304.0,15.0,11.0,9.0,46.0,430.0,39.0,160.0
DOD-ADNI,25.0,9.0,3.0,0.0,0.0,68.0,0.0,8.0
JADNI,56.0,0.0,1.0,0.0,22.0,74.0,2.0,42.0
