,A-T-N-,A-T+N+,A-T-N+,A-T+N-,A+T+N-,A+T-N-,A+T-N+,A+T+N+
ADNI,267.0,32.0,8.0,0.0,39.0,416.0,7.0,248.0
EPAD,592.0,60.0,2.0,3.0,20.0,397.0,9.0,154.0
AIBL,5.0,2.0,0.0,9.0,20.0,10.0,0.0,11.0
ARWIBO,38.0,3.0,7.0,1.0,2.0,86.0,61.0,19.0
EDSD,20.0,1.0,5.0,1.0,0.0,37.0,16.0,5.0
PREVENT-AD,98.0,3.0,3.0,0.0,0.0,25.0,4.0,0.0
PharmaCog,48.0,0.0,0.0,1.0,22.0,72.0,0.0,2.0
NACC,176.0,9.0,16.0,6.0,7.0,149.0,70.0,73.0
EMIF,281.0,16.0,15.0,3.0,33.0,422.0,67.0,177.0
DOD-ADNI,20.0,6.0,0.0,2.0,2.0,77.0,0.0,6.0
JADNI,56.0,0.0,1.0,0.0,23.0,67.0,2.0,48.0
