,A-T-N-,A-T+N+,A-T-N+,A-T+N-,A+T+N-,A+T-N-,A+T-N+,A+T+N+
ADNI,286.0,24.0,11.0,0.0,1.0,460.0,54.0,181.0
EPAD,589.0,61.0,4.0,5.0,17.0,396.0,8.0,157.0
AIBL,15.0,0.0,2.0,0.0,1.0,30.0,1.0,8.0
ARWIBO,63.0,5.0,1.0,3.0,13.0,99.0,14.0,19.0
EDSD,25.0,2.0,4.0,2.0,5.0,26.0,4.0,17.0
PREVENT-AD,93.0,11.0,2.0,3.0,0.0,19.0,1.0,4.0
PharmaCog,47.0,1.0,2.0,0.0,1.0,67.0,5.0,22.0
NACC,179.0,7.0,7.0,15.0,19.0,180.0,38.0,61.0
EMIF,334.0,17.0,14.0,8.0,34.0,387.0,79.0,141.0
DOD-ADNI,50.0,8.0,0.0,1.0,0.0,46.0,0.0,8.0
JADNI,53.0,0.0,1.0,0.0,15.0,84.0,3.0,41.0
