,A-T-N-,A-T+N+,A-T-N+,A-T+N-,A+T+N-,A+T-N-,A+T-N+,A+T+N+
ADNI,233.0,19.0,32.0,0.0,0.0,332.0,174.0,227.0
EPAD,591.0,50.0,3.0,7.0,22.0,419.0,4.0,141.0
AIBL,13.0,0.0,0.0,0.0,5.0,36.0,0.0,3.0
ARWIBO,51.0,9.0,8.0,3.0,3.0,77.0,35.0,31.0
EDSD,18.0,1.0,6.0,1.0,0.0,26.0,17.0,16.0
PREVENT-AD,45.0,8.0,0.0,7.0,0.0,65.0,1.0,7.0
PharmaCog,43.0,1.0,9.0,0.0,1.0,46.0,22.0,23.0
NACC,165.0,5.0,7.0,6.0,8.0,192.0,62.0,61.0
EMIF,300.0,14.0,7.0,9.0,50.0,469.0,35.0,130.0
DOD-ADNI,39.0,6.0,0.0,1.0,2.0,59.0,1.0,5.0
JADNI,66.0,3.0,2.0,0.0,13.0,58.0,4.0,51.0
