,A-T-N-,A-T+N+,A-T-N+,A-T+N-,A+T+N-,A+T-N-,A+T-N+,A+T+N+
ADNI,277.0,34.0,8.0,0.0,38.0,406.0,8.0,246.0
EPAD,585.0,53.0,4.0,6.0,18.0,418.0,6.0,147.0
AIBL,15.0,0.0,2.0,0.0,0.0,30.0,1.0,9.0
ARWIBO,51.0,5.0,3.0,2.0,10.0,102.0,22.0,22.0
EDSD,20.0,2.0,4.0,1.0,7.0,30.0,4.0,17.0
PREVENT-AD,0.0,1.0,0.0,0.0,4.0,125.0,0.0,3.0
PharmaCog,46.0,1.0,2.0,0.0,2.0,68.0,4.0,22.0
NACC,170.0,11.0,10.0,16.0,19.0,156.0,46.0,78.0
EMIF,320.0,21.0,12.0,7.0,47.0,416.0,40.0,151.0
DOD-ADNI,50.0,7.0,1.0,0.0,0.0,47.0,0.0,8.0
JADNI,53.0,0.0,3.0,0.0,11.0,61.0,9.0,60.0
