,A-T-N-,A-T+N+,A-T-N+,A-T+N-,A+T+N-,A+T-N-,A+T-N+,A+T+N+
ADNI,245.0,24.0,0.0,22.0,197.0,304.0,0.0,225.0
EPAD,592.0,46.0,7.0,5.0,17.0,424.0,6.0,140.0
AIBL,1.0,1.0,0.0,8.0,25.0,13.0,0.0,9.0
ARWIBO,64.0,1.0,7.0,2.0,0.0,103.0,34.0,6.0
EDSD,24.0,0.0,1.0,2.0,1.0,52.0,1.0,4.0
PREVENT-AD,111.0,1.0,0.0,8.0,1.0,12.0,0.0,0.0
PharmaCog,40.0,1.0,0.0,0.0,2.0,69.0,9.0,24.0
NACC,168.0,6.0,12.0,3.0,9.0,190.0,62.0,56.0
EMIF,270.0,20.0,18.0,15.0,44.0,361.0,82.0,204.0
DOD-ADNI,47.0,9.0,2.0,0.0,0.0,47.0,0.0,8.0
JADNI,0.0,24.0,61.0,0.0,0.0,0.0,15.0,97.0
